date	Air Bombardment	Artillery	Asphyxiation	Beating or Stabbing	Burned	Chemical	Crushed	Execution	Gun Shot	Mine	Missiles	Other	Refusal to Follow Orders	Resource Outage	Sniper	Stress	Torture	Unspecified	Wounds
2011-07-01	0.0	0.0344827586207	0.0	0.0	0.0	0.0	0.0	0.0	0.896551724138	0.0	0.0	0.0	0.0	0.0	0.0344827586207	0.0	0.0	0.0	0.0344827586207
2011-07-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.333333333333
2011-07-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
2011-07-05	0.0	0.0	0.0344827586207	0.0	0.0	0.0	0.0	0.0	0.896551724138	0.0	0.0	0.0	0.0	0.0	0.0344827586207	0.0	0.0344827586207	0.0	0.0
2011-07-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.947368421053	0.0	0.0	0.0	0.0526315789474	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
2011-07-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-14	0.0	0.0	0.125	0.125	0.0	0.0	0.0	0.0	0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0
2011-07-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.945945945946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0540540540541	0.0	0.0
2011-07-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.888888888889	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.818181818182	0.0	0.0	0.0	0.0909090909091	0.0	0.0	0.0	0.0909090909091	0.0	0.0
2011-07-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.947368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789474	0.0	0.0
2011-07-19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769230769231	0.0	0.0
2011-07-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.0
2011-07-22	0.0	0.0	0.0	0.0555555555556	0.0	0.0	0.0	0.0	0.777777777778	0.0	0.0	0.0	0.0	0.0	0.0555555555556	0.0	0.0555555555556	0.0	0.0555555555556
2011-07-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0
2011-07-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.4	0.0	0.0
2011-07-25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.166666666667	0.0	0.0
2011-07-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-07-27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769230769231	0.0	0.0
2011-07-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
2011-07-29	0.0	0.0	0.0	0.0454545454545	0.0	0.0	0.0	0.0	0.863636363636	0.0	0.0	0.0	0.0	0.0	0.0454545454545	0.0	0.0	0.0	0.0454545454545
2011-07-30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.0	0.0833333333333	0.0	0.0
2011-07-31	0.0	0.00740740740741	0.0	0.0	0.0	0.0	0.00740740740741	0.0	0.977777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.00740740740741	0.0	0.0	0.0
2011-08-01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.975	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0
2011-08-02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.909090909091	0.0	0.0	0.0	0.0	0.0	0.0909090909091	0.0	0.0	0.0	0.0
2011-08-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.842105263158	0.0	0.0	0.0	0.0526315789474	0.0	0.0526315789474	0.0	0.0526315789474	0.0	0.0
2011-08-04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0
2011-08-05	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0
2011-08-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.166666666667	0.0	0.0	0.0	0.0
2011-08-07	0.0	0.00694444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.951388888889	0.0	0.0	0.0	0.00694444444444	0.0	0.0	0.0	0.0347222222222	0.0	0.0
2011-08-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.333333333333	0.0	0.0
2011-08-09	0.0	0.138888888889	0.0	0.0555555555556	0.0	0.0	0.0	0.0	0.583333333333	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.0833333333333	0.0	0.0277777777778
2011-08-10	0.0	0.0526315789474	0.0	0.0	0.0	0.0	0.0	0.0	0.894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0526315789474	0.0	0.0
2011-08-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894736842105	0.0	0.0	0.0	0.0526315789474	0.0	0.0526315789474	0.0	0.0	0.0	0.0
2011-08-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.884615384615	0.0	0.0	0.0	0.0384615384615	0.0	0.0384615384615	0.0	0.0	0.0	0.0384615384615
2011-08-13	0.0	0.0714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0714285714286	0.0	0.0	0.0	0.428571428571	0.0	0.0
2011-08-14	0.0	0.0	0.0	0.0238095238095	0.0	0.0	0.0	0.0	0.928571428571	0.0	0.0	0.0	0.0	0.0	0.0238095238095	0.0	0.0238095238095	0.0	0.0
2011-08-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.857142857143	0.0	0.0	0.0	0.0952380952381	0.0	0.047619047619	0.0	0.0	0.0	0.0
2011-08-16	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142857142857	0.0	0.0
2011-08-17	0.0	0.0555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.833333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.0
2011-08-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.727272727273	0.0	0.0	0.0	0.0	0.0	0.0909090909091	0.0	0.181818181818	0.0	0.0
2011-08-19	0.0	0.0222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.866666666667	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0
2011-08-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.888888888889	0.0	0.0	0.0	0.111111111111	0.0	0.0	0.0	0.0	0.0	0.0
2011-08-21	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2011-08-22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.945945945946	0.0	0.0	0.0	0.027027027027	0.0	0.0	0.0	0.027027027027	0.0	0.0
2011-08-23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0
2011-08-24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.681818181818	0.0	0.0	0.0	0.181818181818	0.0	0.0	0.0	0.136363636364	0.0	0.0
2011-08-25	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
